ns3:row,ID,Gruppo,DataOraIncidente,Localizzazione1,Localizzazione2,IDStrada01,Strada1,Chilometrica,NaturaIncidente,ParticolaritaStrade,TipoStrada,FondoStradale,Pavimentazione,Segnaletica,CondizioneAtmosferica,Traffico,Visibilita,NUM_FERITI,NUM_RISERVATA,NUM_MORTI,NUM_ILLESI,Longitudine,Latitudine,CONFERMATO,IDStrada02,Strada2,DaSpecificare
,5765801,8,2022-01-01T00:40:00,Strada Urbana,in prossimità,9040,VIA PRENESTINA,1146,Veicolo in marcia contro ostacolo fisso,Rettilineo,Una carreggiata a doppio senso,Bagnato (umidità in atto),Asfaltata,Orizzontale,Nebbia,Normale,Insufficiente,1,0,0,0,12.62021,41.892890000000001,True,,,
,5766914,16,2022-01-01T01:00:00,,in prossimità,4979,CIRCONVALLAZIONE GIANICOLENSE,77,Infortunio per caduta del veicolo,,,,,,,,,1,0,0,1,12.456899999999999,41.870379999999997,False,,,
,5765495,13,2022-01-01T01:00:00,,all'intersezione con,10572,VIA DI TOR BOACCIANA,,Veicolo in marcia contro ostacolo fisso,,,,,,,,,0,0,0,0,,,False,8881,VIA DEL PONTE DI TOR BOACCIANA,
,5764995,10,2022-01-01T01:30:00,Strada Urbana,da specificare,521,VIA ANAGNINA,,Veicolo in marcia contro ostacolo fisso,Curva a visuale libera,Due carreggiate,Bagnato (umidità in atto),Asfaltata,Verticale ed orizzontale,Sereno,Scarso,Sufficiente,0,0,0,1,12.59793,41.829560000000001,True,,,FRONTE VIA CROPANI
,5764617,20,2022-01-01T01:50:00,Strada Urbana,da specificare,3489,VIA DEI DUE PONTI,,Scontro frontale/laterale SX fra veicoli in marcia,Rettilineo,Una carreggiata a doppio senso,Asciutto,Asfaltata,Verticale ed orizzontale,Sereno,Scarso,Sufficiente,0,0,0,4,12.448399999999999,41.964709999999997,True,,,PROSS. VIA S. FELICE CIRCEO
,5767101,18,2022-01-01T02:00:00,Strada Urbana,in corrispondenza,529,VIA ANASTASIO II,161,Veicolo in marcia contro veicoli in sosta,Curva senza visuale libera,Una carreggiata a senso unico di marcia,Bagnato (umidità in atto),Asfaltata,Verticale ed orizzontale,Sereno,Normale,Buona,0,0,0,2,12.442349999999999,41.897620000000003,True,,,
,5766088,4,2022-01-01T02:00:00,Statale entro l'abitato,in corrispondenza,2416,VIA CASSIA,1811,Veicolo in marcia contro ostacolo fisso,Rettilineo,Una carreggiata a doppio senso,Bagnato (umidità in atto),Asfaltata,Verticale ed orizzontale,Nebbia,Scarso,Sufficiente,1,0,0,0,12.37702,42.01332,True,,,
,5766200,17,2022-01-01T02:00:00,Strada Urbana,all'intersezione con,7191,LUNGOTEVERE MICHELANGELO,,Scontro laterale fra veicoli in marcia,Intersezione stradale segnalata,Una carreggiata a senso unico di marcia,Bagnato (umidità in atto),Asfaltata,Verticale ed orizzontale,Nebbia,Scarso,Sufficiente,0,0,0,3,12.47044,41.912149999999997,True,6273,PIAZZA DELLA LIBERTA',
,5765882,1,2022-01-01T02:00:00,Strada Urbana,all'intersezione semaforizzata con,9142,VIA DELLE QUATTRO FONTANE,,Scontro frontale/laterale SX fra veicoli in marcia,Intersezione semaforizzata,Una carreggiata a senso unico di marcia,Asciutto,Asfaltata,Verticale ed orizzontale,Sereno,Scarso,Sufficiente,1,0,0,4,12.490740000000001,41.901980000000002,True,11158,VIA VENTI SETTEMBRE,
,5765823,8,2022-01-01T02:30:00,Strada Urbana,da specificare,13712,VIA DI TOR BELLA MONACA,,Tamponamento,Rettilineo,Una carreggiata a senso unico di marcia,Bagnato (umidità in atto),Asfaltata,Verticale ed orizzontale,Nebbia,Normale,Sufficiente,2,0,0,1,12.62613,41.877540000000003,True,,,rotatoria Via di Torrenova
,5765157,9,2022-01-01T02:30:00,,in prossimità,6713,LARGO MAGNAGRECIA,18,Veicolo in marcia contro veicolo in sosta,,,,,,,,,0,0,0,0,,,False,,,
,5764669,1,2022-01-01T04:10:00,Strada Urbana,in corrispondenza,9985,VIA DELLE SETTE SALE,12/a,Veicolo in marcia contro ostacolo fisso,Rettilineo,Una carreggiata a senso unico di marcia,Asciutto,Asfaltata,Orizzontale,Nebbia,Scarso,Sufficiente,0,0,0,1,,,False,,,
,5765494,13,2022-01-01T04:11:00,Strada Urbana,all'intersezione semaforizzata con,3216,VIA CRISTOFORO COLOMBO,,Tamponamento Multiplo,Incrocio,Più di due carreggiate,Asciutto,Asfaltata,Verticale ed orizzontale,Sereno,Normale,Sufficiente,2,0,0,2,12.41151,41.785829999999997,True,2377,VIA DI CASAL PALOCCO,
,5777794,18,2022-01-01T04:40:00,Strada Urbana,da specificare,1547,VIA DI BOCCEA,,Ribaltamento senza urto contro ostacolo fisso,Curva senza visuale libera,Due carreggiate,Asciutto,Asfaltata,Verticale ed orizzontale,Sereno,Scarso,Sufficiente,2,0,0,0,12.38536,41.915840000000003,True,,,altezza fronte Via Verolengo
,5766502,19,2022-01-01T05:30:00,Strada Urbana,in corrispondenza,3251,VIA CUSANO MILANINO,6,Veicolo in marcia contro veicoli in sosta,Rettilineo,Una carreggiata a senso unico di marcia,Bagnato (umidità in atto),Asfaltata,Verticale,Nebbia,Scarso,Insufficiente,0,0,0,1,12.39062,41.948410000000003,True,,,
,5766207,2,2022-01-01T07:20:00,Strada Urbana,da specificare,7683,LUNGOTEVERE DELLE NAVI,,Veicolo in marcia contro veicoli in sosta,Rettilineo,Una carreggiata a senso unico di marcia,Bagnato (umidità in atto),Asfaltata,Verticale ed orizzontale,Nebbia,Scarso,Sufficiente,1,0,0,0,12.47157,41.916559999999997,True,,,alt. VIA FILANGERI
,5765010,10,2022-01-01T10:45:00,Strada Urbana,in prossimità,1797,VIA CALPURNIO PISONE,1,Veicolo in marcia contro veicoli in sosta,Rettilineo,Una carreggiata a senso unico di marcia,Asciutto,Asfaltata,Verticale ed orizzontale,Sereno,Scarso,Buona,0,0,0,0,12.56381,41.860120000000002,True,,,
,5765001,10,2022-01-01T11:30:00,Strada Urbana,in prossimità,10827,VIA TUSCOLANA,605,Scontro laterale fra veicoli in marcia,Rettilineo,Due carreggiate,Asciutto,Asfaltata,Verticale ed orizzontale,Sereno,Scarso,Buona,0,0,0,3,12.549379999999999,41.863700000000001,True,,,
,5765189,23,2022-01-01T11:55:00,Strada Urbana,all'intersezione con,10600,LUNGOTEVERE TOR DI NONA,,Veicolo in marcia contro ostacolo fisso,Intersezione semaforizzata,Una carreggiata a senso unico di marcia,Asciutto,Asfaltata,Verticale ed orizzontale,Sereno,Normale,Buona,0,0,0,1,12.47139,41.902389999999997,False,8883,PIAZZA DI PONTE UMBERTO I,
,5765383,20,2022-01-01T12:00:00,Strada Urbana,in corrispondenza,7276,VIA MISURINA,70,Investimento di pedone,Curva senza visuale libera,Una carreggiata a senso unico di marcia,Asciutto,Asfaltata,Assente,Sereno,Scarso,Buona,2,0,0,1,12.44849,41.948180000000001,True,,,
