_id,id,tipologia,denominazione,via,civico,latitude,longitude,stelle,categoria,totalePostiLetto,totaleNumeroCamere,numeroSingole,numeroDoppie,numeroTriple,numeroQuadruple,numeroBagni,contattoCellulare,contattoEmail,contattoFacebook,contattoInstagram,contattoTelefono,contattoWebSite,contattoFax,contattoTwitter,accessibileDisabili,accettazioneGruppi,accettaAnimaliPiccolaTaglia,attivitaSportive,depositoValori,lavanderia,ristorante,tennis,parco,pistaBallo,servizioTelefono,televisione,tennisTavolo,ariaCondizionata,coperturaWifi,piscina,parcheggioCustodito,venditaAlimentiPropriaProduzione,trasportoClienti,bar,cassettaSicurezza,presaTelefonicaModem,spaccio,campiBocce,campoBeachVolley,campoCalcetto,campoPallavolo,attraccoNatanti,numeroBungalow,numeroDocce,numeroLavadini,numeroPiazzole
1,395872,Guest House o Affittacamere,00146 ROMA HOLIDAY AND JUBILEE HOUSE,Via Efeso,19,41.8542663,12.4749789,"",3,3,2,1,1,,,"",,"","","",,"",,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2,397443,Guest House o Affittacamere,126 GRACCHI SUITES GUEST HOUSE O AFFITTACAMERE,Via dei Gracchi,126,41.908495,12.4638762,"",2,10,5,,5,,,"",3292629815,gracchi126suites@gmail.com,126 gracchi suites,126_gracchisuites,3273653923,"",,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3,396711,Guest House o Affittacamere,149 GUEST HOUSE,Via Marmorata,149,41.8814585,12.4769805,"",2,7,4,1,3,,,"",,"","","",,"",,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4,396262,Guest House o Affittacamere,19 steps trevi,Via dei Crociferi,26,41.9008078,12.4818117,"",3,5,3,1,2,,,"",,emma2005.srl@legalmail.it,"","",8118856294,"",,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
5,396732,Guest House o Affittacamere,1971 Guest House o Affittacamere,Via Marghera,10,41.9032904,12.5047501,"",3,15,5,,2,2,,"",3297004444,jewelit2008@hotmail.com,"","",64465188,https://1971.it/,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
6,395716,Guest House o Affittacamere,207 EQUATORE,Viale Giulio Cesare,207,41.9088116,12.4564335,"",3,4,3,2,1,,,"",,"","","",,"",,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
7,396348,Guest House o Affittacamere,247 LUXURY GUEST HOUSE O AFFITTACAMERE,Viale di Trastevere,247,41.876458,12.4659524,"",2,11,5,,4,1,,"",339846717,info@247luxury.it,"","",669373451,www.247luxury.it,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
8,394946,Guest House o Affittacamere,2BE APARTMENT ROME - EMO - Guest House o Affittacamere/Guest House,Via Angelo Emo,56,41.9051716,12.4472965,"",3,4,2,,2,,,"",3402968554,carogioiello@libero.it,"","",3402968554,"",,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
9,399682,Guest House o Affittacamere,3 STORIE GUEST HOUSE o AFFITTACAMERE,Via della Cava Aurelia,96,41.894697,12.4503039,"",2,7,3,,2,1,,"",,info@3storie.it,"","",3514161001,http://www.3storie.it,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
10,396882,Guest House o Affittacamere,37 GUEST HOUSE O AFFITTACAMERE,Piazza Giovanni Da Verrazzano,37,41.8683372,12.4904824,"",3,8,4,,4,,,"",3391378291,"cristina@villageta,it","","",651435383,"",66780586,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
