id,tipologia,denominazione,via,civico,latitude,longitude,stelle,categoria,totalePostiLetto,totaleNumeroCamere,numeroSingole,numeroDoppie,numeroTriple,numeroQuadruple,numeroBagni
395872,Guest House o Affittacamere,00146 ROMA HOLIDAY AND JUBILEE HOUSE,Via Efeso,19,41.8542663,12.4749789,,3.0,3.0,2.0,1.0,1.0,,,
397443,Guest House o Affittacamere,126 GRACCHI SUITES GUEST HOUSE O AFFITTACAMERE,Via dei Gracchi,126,41.908495,12.4638762,,2.0,10.0,5.0,,5.0,,,
396711,Guest House o Affittacamere,149 GUEST HOUSE,Via Marmorata,149,41.8814585,12.4769805,,2.0,7.0,4.0,1.0,3.0,,,
396262,Guest House o Affittacamere,19 steps trevi,Via dei Crociferi,26,41.9008078,12.4818117,,3.0,5.0,3.0,1.0,2.0,,,
396732,Guest House o Affittacamere,1971 Guest House o Affittacamere,Via Marghera,10,41.9032904,12.5047501,,3.0,15.0,5.0,,2.0,2.0,,
395716,Guest House o Affittacamere,207 EQUATORE,Viale Giulio Cesare,207,41.9088116,12.4564335,,3.0,4.0,3.0,2.0,1.0,,,
396348,Guest House o Affittacamere,247 LUXURY GUEST HOUSE O AFFITTACAMERE,Viale di Trastevere,247,41.876458,12.4659524,,2.0,11.0,5.0,,4.0,1.0,,
394946,Guest House o Affittacamere,2BE APARTMENT ROME - EMO - Guest House o Affittacamere/Guest House,Via Angelo Emo,56,41.9051716,12.4472965,,3.0,4.0,2.0,,2.0,,,
399682,Guest House o Affittacamere,3 STORIE GUEST HOUSE o AFFITTACAMERE,Via della Cava Aurelia,96,41.894697,12.4503039,,2.0,7.0,3.0,,2.0,1.0,,
396882,Guest House o Affittacamere,37 GUEST HOUSE O AFFITTACAMERE,Piazza Giovanni Da Verrazzano,37,41.8683372,12.4904824,,3.0,8.0,4.0,,4.0,,,
397941,Guest House o Affittacamere,39 STEPS TREVI,Via dei Crociferi,26,41.9008078,12.4818117,,3.0,5.0,3.0,1.0,2.0,,,
394892,Guest House o Affittacamere,4 VATICAN ROOMS 'GUEST HOUSE O AFFITTACAMERE',Circonvallazione Trionfale,1,41.9098677,12.4489377,,2.0,4.0,3.0,2.0,1.0,,,
